Word,Stopwords,FREQcount,Dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,,,,,,Adjective
a,1,1041179,Article,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,,,,,,Adjective
aa,0,87,Name,0.92,Name.Noun,79.7,,,,,,Adjective
aaa,0,25,Name,0.8,Name.Noun,20.5,,,,,,Adjective
aah,0,2688,Interjection,1,Interjection,2657,,,,,,Adjective
aahed,0,1,Verb,1,Verb,1,,,,,,Adjective
aahing,0,2,Verb,1,Verb,2,,,,,,Adjective
aahs,0,5,Noun,1,Noun,5,,,,,,Adjective
aal,0,1,Adjective,1,Adjective,1,,,,,,Adjective
aardvark,0,21,Noun,0.76,Noun.Verb.Name,16.3.2,,,,,,Adjective
aargh,0,33,Interjection,1,Interjection,32,,,,,,Adjective
aaron,0,747,Name,1,Name,744,,,,,,Adjective
aarrgh,0,1,Verb,1,Verb,1,,,,,,Adjective
aarrghh,0,1,Noun,1,Noun,1,,,,,,Adjective
aas,0,2,Noun,0.5,Noun.Name,1.1,,,,,,Adjective
ab,0,75,Unclassified,0.78,Unclassified.Noun.Verb,57.11.5,,,,,,Adjective
aba,0,4,Noun,1,Noun,2,,,,,,Adjective
abaca,0,1,Noun,1,Noun,1,,,,,,Adjective
aback,0,15,Adverb,1,Adverb,15,,,,,,Adjective
abacus,0,12,Noun,0.92,Noun.Name,11.1,,,,,,Adjective
abacuses,0,1,Noun,1,Noun,1,,,,,,Adjective
abaddon,0,10,Noun,0.6,Noun.Name,6.4,,,,,,Adjective
abaft,0,2,Verb,0.5,Verb.Noun,1.1,,,,,,Adjective
abalone,0,26,Verb,0.54,Verb.Noun.Name,14.9.3,,,,,,Adjective
abalones,0,6,Noun,1,Noun,6,,,,,,Adjective
abandon,0,413,Verb,0.96,Verb.Noun,395.18,,,,,,Adjective
abandoned,0,678,Verb,0.71,Verb.Adjective,480.2,,,,,,Adjective
abandoner,0,1,Noun,1,Noun,1,,,,,,Adjective
abandoning,0,86,Verb,1,Verb,86,,,,,,Adjective
abandonment,0,49,Noun,1,Noun,49,,,,,,Adjective
abandons,0,14,Verb,1,Verb,14,,,,,,Adjective
abase,0,3,Verb,1,Verb,3,,,,,,Adjective
abastard,0,1,Noun,1,Noun,1,,,,,,Adjective
abate,0,5,Verb,0.8,Verb.Noun,4.1,,,,,,Adjective
abated,0,4,Verb,1,Verb,4,,,,,,Adjective
abatement,0,3,Noun,1,Noun,3,,,,,,Adjective
abates,0,2,Verb,1,Verb,2,,,,,,Adjective
abating,0,1,Verb,1,Verb,1,,,,,,Adjective
abattoir,0,7,Noun,1,Noun,7,,,,,,Adjective
abay,0,3,Name,1,Name,3,,,,,,Adjective
abb,0,3,Name,0.54,Name.Noun,28.24,,,,,,Adjective
abba,0,9,Name,0.78,Name.Noun,7.2,,,,,,Adjective
abbas,0,5,Name,1,Name,5,,,,,,Adjective
abbe,0,2,Name,1,Name,2,,,,,,Adjective
abbess,0,2,Noun,0.5,Noun.Name,1.1,,,,,,Adjective
abbesses,0,1,Noun,1,Noun,1,,,,,,Adjective
abbey,0,162,Noun,0.94,Noun.Name,152.1,,,,,,Adjective
abbot,0,43,Name,0.51,Name.Noun,22.21,,,,,,Adjective
abbott,0,401,Name,1,Name.Noun,396.1,,,,,,Adjective
abbreviate,0,1,Verb,1,Verb,1,,,,,,Adjective
abbreviated,0,16,Adjective,0.75,Adjective.Verb,12.4,,,,,,Adjective
abbreviation,0,12,Noun,1,Noun,12,,,,,,Adjective
abbreviations,0,10,Noun,1,Noun,10,,,,,,Adjective
abby,0,637,Name,1,Name,632,,,,,,Adjective
abc,0,124,Name,0.91,Name.Noun,114.11,,,,,,Adjective
abd,0,1,Noun,1,Noun,1,,,,,,Adjective
abdicate,0,9,Verb,1,Verb,9,,,,,,Adjective
abdicated,0,7,Verb,1,Verb,7,,,,,,Adjective
abdicates,0,1,Noun,1,Noun,1,,,,,,Adjective
abdicating,0,3,Verb,1,Verb,3,,,,,,Adjective
abdication,0,6,Noun,1,Noun,6,,,,,,Adjective
abdomen,0,171,Noun,1,Noun,171,,,,,,Adjective
abdomens,0,3,Noun,1,Noun,3,,,,,,Adjective
abdominal,0,174,Adjective,1,Adjective,174,,,,,,Adjective
abdominals,0,7,Noun,1,Noun,7,,,,,,Adjective
abduct,0,36,Verb,0.94,Verb.Noun,34.2,,,,,,Adjective
abducted,0,255,Verb,0.94,Verb.Adjective.Name,240.11.3,,,,,,Adjective
abductee,0,20,Noun,1,Noun,20,,,,,,Adjective
abductees,0,18,Noun,1,Noun,18,,,,,,Adjective
abducting,0,16,Verb,1,Verb,16,,,,,,Adjective
abduction,0,185,Noun,1,Noun,185,,,,,,Adjective
abductions,0,42,Noun,1,Noun,41,,,,,,Adjective
abductor,0,18,Noun,0.94,Noun.Name,17.1,,,,,,Adjective
abductors,0,11,Noun,1,Noun,11,,,,,,Adjective
abducts,0,8,Verb,1,Verb,8,,,,,,Adjective
abeam,0,7,Noun,0.86,Noun.Verb,6.1,,,,,,Adjective
abed,0,10,Adverb,1,Adverb,10,,,,,,Adjective
abel,0,68,Name,0.97,Name.Verb.Noun,66.1.1,,,,,,Adjective
abele,0,1,Noun,1,Noun,1,,,,,,Adjective
abend,0,9,Noun,0.67,Noun.Name,6.3,,,,,,Adjective
aberdeen,0,17,Name,1,Name,17,,,,,,Adjective
abernethy,0,1,Name,1,Name,1,,,,,,Adjective
aberrant,0,15,Adjective,0.8,Adjective.Noun,12.3,,,,,,Adjective
aberration,0,28,Noun,1,Noun,28,,,,,,Adjective
aberrations,0,8,Noun,1,Noun,8,,,,,,Adjective
abet,0,5,Verb,1,Verb,5,,,,,,Adjective
abetted,0,8,Verb,1,Verb,8,,,,,,Adjective
abetting,0,26,Verb,0.96,Verb.Name,26.1,,,,,,Adjective
abettor,0,1,Noun,1,Noun,1,,,,,,Adjective
abeyance,0,2,Noun,1,Noun,2,,,,,,Adjective
abhor,0,12,Verb,1,Verb,12,,,,,,Adjective
abhorred,0,7,Verb,1,Verb,7,,,,,,Adjective
abhorrent,0,9,Adjective,1,Adjective,9,,,,,,Adjective
abhors,0,4,Verb,1,Verb,4,,,,,,Adjective
abide,0,138,Verb,1,Verb,138,,,,,,Adjective
abided,0,3,Verb,1,Verb,3,,,,,,Adjective
abiders,0,1,Noun,1,Noun,1,,,,,,Adjective
abides,0,4,Verb,1,Verb,4,,,,,,Adjective
abiding,0,25,Adjective,0.68,Adjective.Verb,17.8,,,,,,Adjective
abigail,0,154,Name,0.58,Name.Verb.Noun,88.51.14,,,,,,Adjective
abilene,0,68,Name,0.88,Name.Noun,60.8,,,,,,Adjective
abilities,0,312,Noun,1,Noun,308,,,,,,Adjective
ability,0,980,Noun,1,Noun,975,,,,,,Adjective
abiogenist,0,3,Noun,1,Noun,3,,,,,,Adjective
abit,0,1,Noun,1,Noun,1,,,,,,Adjective
abject,0,20,Adjective,1,Adjective,20,,,,,,Adjective
abjectly,0,3,Adverb,1,Adverb,3,,,,,,Adjective
abjure,0,1,Verb,1,Verb,1,,,,,,Adjective
ablate,0,1,Verb,1,Verb,1,,,,,,Adjective
ablated,0,1,Verb,1,Verb,1,,,,,,Adjective
ablation,0,1,Noun,1,Noun,1,,,,,,Adjective
ablaze,0,21,Adjective,1,Adjective,21,,,,,,Adjective
able,0,8155,Adjective,1,Adjective,8148,,,,,,Adjective
abler,0,1,Adjective,1,Adjective,1,,,,,,Adjective
ablest,0,2,Adjective,1,Adjective,3,,,,,,Adjective
abloom,0,3,Verb,0.67,Verb.Noun,2.1,,,,,,Adjective
ablution,0,3,Noun,1,Noun,3,,,,,,Adjective
ablutions,0,4,Noun,1,Noun,4,,,,,,Adjective
ably,0,9,Adverb,1,Adverb,9,,,,,,Adjective
abner,0,172,Name,0.58,Name.Noun,97.7,,,,,,Adjective
abnormal,0,148,Adjective,1,Adjective,147,,,,,,Adjective
abnormalities,0,25,Noun,1,Noun,25,,,,,,Adjective
abnormality,0,26,Noun,1,Noun,26,,,,,,Adjective
abnormally,0,20,Adverb,1,Adverb,20,,,,,,Adjective
abnormity,0,1,Noun,1,Noun,1,,,,,,Adjective
abo,0,6,Noun,1,Noun,6,,,,,,Adjective
aboard,0,1358,Adverb,0.75,Adverb.Preposition,1006.342,,,,,,Adjective
abode,0,33,Noun,1,Noun,33,,,,,,Adjective
abogado,0,2,Noun,1,Noun,2,,,,,,Adjective
abolish,0,24,Verb,1,Verb,24,,,,,,Adjective
abolished,0,20,Verb,1,Verb,20,,,,,,Adjective
abolishes,0,1,Verb,1,Verb,1,,,,,,Adjective
abolishing,0,2,Verb,1,Verb,2,,,,,,Adjective
abolition,0,10,Noun,1,Noun,10,,,,,,Adjective
abolitionism,0,1,Noun,1,Noun,1,,,,,,Adjective
abolitionist,0,11,Noun,1,Noun,10,,,,,,Adjective
abolitionists,0,13,Noun,1,Noun,13,,,,,,Adjective
abomasum,0,1,Noun,1,Noun,1,,,,,,Adjective
abominable,0,32,Adjective,1,Adjective,32,,,,,,Adjective
abominably,0,8,Adverb,1,Adverb,8,,,,,,Adjective
abominate,0,3,Verb,0.33,Verb.Noun.Adjective,1.1.1,,,,,,Adjective
abomination,0,58,Noun,1,Noun,58,,,,,,Adjective
abominations,0,7,Noun,1,Noun,7,,,,,,Adjective
aboriginal,0,9,Adjective,1,Adjective,9,,,,,,Adjective
aboriginally,0,1,Adverb,1,Adverb,1,,,,,,Adjective
aboriginals,0,1,Name,1,Name,1,,,,,,Adjective
aborigine,0,4,Noun,0.75,Noun.Verb,3.1,,,,,,Adjective
aborigines,0,9,Noun,0.89,Noun.Name,8.1,,,,,,Adjective
aborning,0,1,Verb,1,Verb,1,,,,,,Adjective
abort,0,235,Verb,1,Verb,234,,,,,,Adjective
aborted,0,32,Verb,0.72,Verb.Adjective.Name,23.8.1,,,,,,Adjective
aborting,0,13,Verb,1,Verb,13,,,,,,Adjective
abortion,0,369,Noun,1,Noun,370,,,,,,Adjective
abortionist,0,4,Noun,1,Noun,4,,,,,,Adjective
abortionists,0,1,Noun,1,Noun,1,,,,,,Adjective
abortions,0,35,Noun,1,Noun,35,,,,,,Adjective
abortive,0,1,Adjective,1,Adjective,1,,,,,,Adjective
abortively,0,1,Adverb,1,Adverb,1,,,,,,Adjective
aborts,0,1,Verb,1,Verb,1,,,,,,Adjective
abound,0,18,Verb,1,Verb,18,,,,,,Adjective
abounded,0,3,Verb,1,Verb,3,,,,,,Adjective
abounding,0,4,Verb,1,Verb,4,,,,,,Adjective
abounds,0,10,Verb,1,Verb,10,,,,,,Adjective
about,1,185206,Preposition,0.89,Preposition.Adverb.Noun,164260.20769.13,,,,,,Adjective
abouts,0,8,Adverb,1,Adverb,8,,,,,,Adjective
above,0,2493,Preposition,0.71,Preposition.Adverb.Adjective,1770.608.110,,,,,,Adjective
aboveboard,0,14,Noun,1,Noun,14,,,,,,Adjective
aboveground,0,7,Adjective,1,Adjective,7,,,,,,Adjective
abovementioned,0,1,Adjective,1,Adjective,1,,,,,,Adjective
abracadabra,0,53,Noun,0.83,Noun.Name,44.9,,,,,,Adjective
abrade,0,1,Verb,1,Verb,1,,,,,,Adjective
abraded,0,5,Verb,0.6,Verb.Name.Adjective,3.1.1,,,,,,Adjective
abraham,0,264,Name,0.99,Name.Noun,261.3,,,,,,Adjective
abraid,0,1,Verb,1,Verb,1,,,,,,Adjective
abrasion,0,18,Noun,1,Noun,18,,,,,,Adjective
abrasions,0,56,Noun,1,Noun,56,,,,,,Adjective
abrasive,0,23,Adjective,1,Adjective,23,,,,,,Adjective
abrasiveness,0,2,Noun,1,Noun,2,,,,,,Adjective
abrasives,0,4,Verb,0.5,Verb.Noun,2.2,,,,,,Adjective
abraxas,0,29,Name,0.52,Name.Noun,15.14,,,,,,Adjective
abreaction,0,1,Noun,1,Noun,1,,,,,,Adjective
abreast,0,26,Adjective,1,Adjective,26,,,,,,Adjective
abridge,0,1,Noun,1,Noun,1,,,,,,Adjective
abridged,0,9,Adjective,0.56,Adjective.Verb.Name,5.3.1,,,,,,Adjective
abridgement,0,1,Noun,1,Noun,1,,,,,,Adjective
abridging,0,2,Verb,1,Verb,2,,,,,,Adjective
abroad,0,250,Adverb,1,Adverb,250,,,,,,Adjective
abrogate,0,1,Verb,1,Verb,1,,,,,,Adjective
abrogated,0,2,Verb,1,Verb,2,,,,,,Adjective
abrogating,0,1,Verb,1,Verb,1,,,,,,Adjective
abrupt,0,58,Adjective,1,Adjective,58,,,,,,Adjective
abruption,0,6,Noun,1,Noun,6,,,,,,Adjective
abruptly,0,45,Adverb,1,Adverb,45,,,,,,Adjective
abruptness,0,4,Noun,1,Noun,4,,,,,,Adjective
abs,0,54,Adjective,1,Adjective,54,,,,,,Adjective
abscam,0,3,Name,0.67,Name.Noun,2.1,,,,,,Adjective
abscess,0,25,Noun,1,Noun,25,,,,,,Adjective
abscessed,0,3,Verb,0.67,Verb.Adjective,2.1,,,,,,Adjective
abscesses,0,7,Noun,1,Noun,7,,,,,,Adjective
abscond,0,5,Verb,0.8,Verb.Noun,4.1,,,,,,Adjective
absconded,0,5,Verb,1,Verb,5,,,,,,Adjective
absconder,0,1,Noun,1,Noun,1,,,,,,Adjective
absconders,0,2,Verb,0.5,Verb.Noun,1.1,,,,,,Adjective
absconding,0,3,Verb,0.67,Verb.Noun,2.1,,,,,,Adjective
abseiling,0,1,Verb,1,Verb,1,,,,,,Adjective
absence,0,322,Noun,1,Noun,321,,,,,,Adjective
absences,0,14,Noun,1,Noun,14,,,,,,Adjective
absent,0,131,Adjective,0.84,Adjective.Verb,110.21,,,,,,Adjective
absentee,0,18,Noun,1,Noun,18,,,,,,Adjective
absenteeism,0,5,Noun,1,Noun,5,,,,,,Adjective
absentees,0,4,Noun,1,Noun,4,,,,,,Adjective
absentia,0,9,Adverb,1,Adverb,9,,,,,,Adjective
absenting,0,2,Verb,1,Verb,2,,,,,,Adjective
absentminded,0,3,Adjective,1,Adjective,3,,,,,,Adjective
absentmindedness,0,1,Noun,1,Noun,1,,,,,,Adjective
absinthe,0,28,Verb,0.56,Verb.Noun,15.12,,,,,,Adjective
absinthes,0,3,Noun,1,Noun,3,,,,,,Adjective
absinthium,0,1,Noun,1,Noun,1,,,,,,Adjective
absit,0,1,Verb,1,Verb,1,,,,,,Adjective
absolute,0,577,Adjective,1,Adjective,578,,,,,,Adjective
absolutely,0,5769,Adverb,1,Adverb.Noun,5756.1,,,,,,Adjective
absoluteness,0,1,Noun,1,Noun,1,,,,,,Adjective
absolutes,0,21,Noun,1,Noun,22,,,,,,Adjective
absolution,0,48,Noun,1,Noun,48,,,,,,Adjective
absolutions,0,1,Name,1,Name,1,,,,,,Adjective
absolve,0,29,Verb,1,Verb,29,,,,,,Adjective
absolved,0,15,Verb,1,Verb,15,,,,,,Adjective
absolver,0,4,Noun,1,Noun,4,,,,,,Adjective
absolves,0,4,Verb,1,Verb,4,,,,,,Adjective
absolving,0,5,Verb,1,Verb,5,,,,,,Adjective
absorb,0,101,Verb,1,Verb,102,,,,,,Adjective
absorbed,0,78,Verb,0.96,Verb.Adjective,75.3,,,,,,Adjective
absorbent,0,8,Adjective,0.88,Adjective.Noun,7.1,,,,,,Adjective
absorber,0,3,Noun,1,Noun,3,,,,,,Adjective
absorbers,0,8,Noun,1,Noun,8,,,,,,Adjective
absorbing,0,23,Verb,0.74,Verb.Adjective,17.6,,,,,,Adjective
absorbs,0,25,Verb,1,Verb,25,,,,,,Adjective
absorbtion,0,3,Noun,1,Noun,3,,,,,,Adjective
absorption,0,18,Noun,1,Noun,18,,,,,,Adjective
absorptions,0,1,Noun,1,Noun,1,,,,,,Adjective
abstain,0,26,Verb,1,Verb,26,,,,,,Adjective
abstained,0,4,Verb,1,Verb,4,,,,,,Adjective
abstainers,0,1,Noun,1,Noun,1,,,,,,Adjective
abstaining,0,8,Verb,1,Verb,8,,,,,,Adjective
abstains,0,2,Verb,1,Verb,2,,,,,,Adjective
abstention,0,6,Noun,1,Noun,6,,,,,,Adjective
abstentions,0,1,Noun,1,Noun,1,,,,,,Adjective
abstinence,0,45,Noun,1,Noun,45,,,,,,Adjective
abstinent,0,3,Noun,0.67,Noun.Adjective,2.1,,,,,,Adjective
abstract,0,111,Adjective,0.9,Adjective.Verb.Noun,101.7.4,,,,,,Adjective
abstracted,0,3,Adjective,0.67,Adjective.Verb,2.1,,,,,,Adjective
abstracting,0,1,Verb,1,Verb,1,,,,,,Adjective
abstraction,0,15,Noun,1,Noun,15,,,,,,Adjective
abstractionist,0,1,Noun,1,Noun,1,,,,,,Adjective
abstractions,0,5,Noun,1,Noun,5,,,,,,Adjective
abstractly,0,2,Adverb,1,Adverb,2,,,,,,Adjective
abstracts,0,7,Noun,1,Noun,7,,,,,,Adjective
abstruse,0,3,Adjective,1,Adjective,3,,,,,,Adjective
absurd,0,495,Adjective,1,Adjective,494,,,,,,Adjective
absurdist,0,1,Noun,1,Noun,1,,,,,,Adjective
absurdities,0,6,Noun,1,Noun,6,,,,,,Adjective
absurdity,0,32,Noun,1,Noun,32,,,,,,Adjective
absurdly,0,15,Adverb,1,Adverb,15,,,,,,Adjective
abt,0,11,Noun,0.45,Noun.Verb.Name,5.4.2,,,,,,Adjective
abu,0,131,Name,1,Name,131,,,,,,Adjective
abulia,0,1,Noun,1,Noun,1,,,,,,Adjective
abundance,0,45,Noun,1,Noun,45,,,,,,Adjective
abundant,0,29,Adjective,1,Adjective,29,,,,,,Adjective
abundantly,0,21,Adverb,1,Adverb,21,,,,,,Adjective
abuse,0,523,Noun,0.77,Noun.Verb.Name,404.118.1,,,,,,Adjective
abused,0,231,Verb,0.88,Verb.Adjective,204.27,,,,,,Adjective
abuser,0,16,Noun,1,Noun,16,,,,,,Adjective
abusers,0,11,Noun,1,Noun,11,,,,,,Adjective
abuses,0,25,Noun,0.56,Noun.Verb,14.11,,,,,,Adjective
abusing,0,61,Verb,0.97,Verb.Adjective,59.2,,,,,,Adjective
abusive,0,83,Adjective,1,Adjective,83,,,,,,Adjective
abusiveness,0,1,Noun,1,Noun,1,,,,,,Adjective
abut,0,6,Verb,1,Verb,6,,,,,,Adjective
abutment,0,6,Noun,1,Noun,6,,,,,,Adjective
abutments,0,1,Noun,1,Noun,1,,,,,,Adjective
abuts,0,2,Verb,1,Verb,2,,,,,,Adjective
abutting,0,1,Verb,1,Verb,1,,,,,,Adjective
abuzz,0,2,Noun,1,Noun,1,,,,,,Adjective
abysmal,0,21,Adjective,1,Adjective,21,,,,,,Adjective
abysmally,0,1,Adverb,1,Adverb,1,,,,,,Adjective
abyss,0,90,Noun,1,Noun,91,,,,,,Adjective
abyssal,0,1,Noun,1,Noun,1,,,,,,Adjective
abysses,0,2,Noun,1,Noun,2,,,,,,Adjective
abyssinia,0,8,Name,1,Name,8,,,,,,Adjective
abyssinian,0,9,Adjective,1,Adjective,9,,,,,,Adjective
abyssus,0,4,Noun,1,Noun,4,,,,,,Adjective
ac,0,110,Noun,1,Noun,73,,,,,,Adjective
acacia,0,8,Noun,0.63,Noun.Name,5.3,,,,,,Adjective
academe,0,2,Noun,1,Noun,2,,,,,,Adjective
academes,0,1,Noun,1,Noun,1,,,,,,Adjective
academia,0,12,Noun,1,Noun,12,,,,,,Adjective
academic,0,238,Adjective,0.99,Adjective.Noun,235.2,,,,,,Adjective
academically,0,11,Adverb,1,Adverb,11,,,,,,Adjective
academician,0,1,Noun,1,Noun,1,,,,,,Adjective
academics,0,35,Noun,1,Noun,34,,,,,,Adjective
academies,0,7,Noun,1,Noun,7,,,,,,Adjective
academy,0,633,Noun,1,Noun,633,,,,,,Adjective
acadia,0,3,Name,1,Name,3,,,,,,Adjective
acanthus,0,1,Adjective,1,Adjective,1,,,,,,Adjective
acapulco,0,82,Name,0.84,Name.Noun,69.13,,,,,,Adjective
acc,0,8,Noun,0.5,Noun.Name,4.4,,,,,,Adjective
accademia,0,1,Noun,1,Noun,1,,,,,,Adjective
accadian,0,1,Adjective,1,Adjective,1,,,,,,Adjective
accede,0,7,Verb,1,Verb,7,,,,,,Adjective
acceded,0,1,Verb,1,Verb,1,,,,,,Adjective
accelerant,0,28,Noun,1,Noun,28,,,,,,Adjective
accelerate,0,65,Verb,1,Verb,65,,,,,,Adjective
accelerated,0,49,Adjective,0.65,Adjective.Verb,32.17,,,,,,Adjective
accelerates,0,5,Verb,1,Verb,5,,,,,,Adjective
accelerating,0,45,Verb,0.71,Verb.Adjective,32.13,,,,,,Adjective
acceleration,0,44,Noun,1,Noun,44,,,,,,Adjective
accelerator,0,69,Noun,1,Noun,69,,,,,,Adjective
accelerators,0,4,Noun,1,Noun,4,,,,,,Adjective
accent,0,621,Noun,0.98,Noun.Verb,609.12,,,,,,Adjective
accented,0,1,Verb,1,Verb,1,,,,,,Adjective
accents,0,58,Noun,1,Noun,58,,,,,,Adjective
accentuate,0,18,Verb,1,Verb,18,,,,,,Adjective
accentuated,0,2,Verb,1,Verb,2,,,,,,Adjective
accentuates,0,4,Verb,1,Verb,4,,,,,,Adjective
accentuating,0,1,Verb,1,Verb,1,,,,,,Adjective
accept,0,2692,Verb,1,Verb.Noun,2692.1,,,,,,Adjective
acceptable,0,269,Adjective,1,Adjective,269,,,,,,Adjective
acceptance,0,161,Noun,1,Noun,162,,,,,,Adjective
acceptances,0,2,Noun,1,Noun,2,,,,,,Adjective
acceptant,0,1,Noun,1,Noun,1,,,,,,Adjective
accepted,0,801,Verb,0.91,Verb.Adjective,725.76,,,,,,Adjective
accepting,0,206,Verb,1,Verb,206,,,,,,Adjective
accepts,0,106,Verb,0.99,Verb.Noun,105.1,,,,,,Adjective
access,0,1615,Noun,0.82,Noun.Verb,1318.283,,,,,,Adjective
accessed,0,78,Verb,1,Verb,78,,,,,,Adjective
accesses,0,2,Verb,1,Verb,2,,,,,,Adjective
accessibility,0,2,Noun,1,Noun,2,,,,,,Adjective
accessible,0,56,Adjective,1,Adjective,56,,,,,,Adjective
accessing,0,53,Verb,0.91,Verb.Noun,48.5,,,,,,Adjective
accession,0,6,Noun,1,Noun,6,,,,,,Adjective
accessories,0,76,Noun,1,Noun,76,,,,,,Adjective
accessorise,0,1,Verb,1,Verb,2,,,,,,Adjective
accessorize,0,18,Verb,1,Verb,18,,,,,,Adjective
accessorized,0,2,Verb,1,Verb,2,,,,,,Adjective
accessorizing,0,6,Verb,0.83,Verb.Adjective,5.1,,,,,,Adjective
accessory,0,147,Noun,0.75,Noun.Adjective,110.37,,,,,,Adjective
accident,0,4146,Noun,1,Noun,4138,,,,,,Adjective
accidental,0,153,Adjective,1,Adjective,152,,,,,,Adjective
accidentally,0,449,Adverb,1,Adverb,448,,,,,,Adjective
accidentals,0,1,Noun,1,Noun,1,,,,,,Adjective
accidently,0,11,Adverb,1,Adverb,11,,,,,,Adjective
accidents,0,340,Noun,1,Noun,340,,,,,,Adjective
acclaim,0,22,Noun,0.95,Noun.Verb,21.1,,,,,,Adjective
acclaimed,0,20,Verb,0.6,Verb.Adjective,12.8,,,,,,Adjective
acclaims,0,2,Verb,0.5,Verb.Noun,1.1,,,,,,Adjective
acclamation,0,1,Noun,1,Noun,1,,,,,,Adjective
acclimate,0,8,Verb,1,Verb,8,,,,,,Adjective
acclimated,0,10,Verb,0.6,Verb.Adjective.Name,6.3.1,,,,,,Adjective
acclimates,0,1,Verb,1,Verb,1,,,,,,Adjective
acclimating,0,3,Verb,1,Verb,3,,,,,,Adjective
acclimatization,0,1,Noun,1,Noun,1,,,,,,Adjective
acclimatize,0,1,Verb,1,Verb,1,,,,,,Adjective
acclimatized,0,2,Verb,0.5,Verb.Adjective,1.1,,,,,,Adjective
accolade,0,1,Noun,1,Noun,1,,,,,,Adjective
accolades,0,9,Noun,1,Noun,9,,,,,,Adjective
accommodate,0,109,Verb,1,Verb,108,,,,,,Adjective
accommodated,0,5,Verb,1,Verb,5,,,,,,Adjective
accommodates,0,3,Verb,1,Verb,3,,,,,,Adjective
accommodating,0,36,Verb,0.69,Verb.Adjective,25.11,,,,,,Adjective
accommodation,0,48,Noun,1,Noun,48,,,,,,Adjective
accommodations,0,85,Noun,1,Noun,85,,,,,,Adjective
accommodative,0,1,Adjective,1,Adjective,1,,,,,,Adjective
accomodate,0,6,Verb,1,Verb,6,,,,,,Adjective
accompanied,0,105,Verb,1,Verb,105,,,,,,Adjective
accompanier,0,1,#N/A,#N/A,#N/A,#N/A,,,,,,Adjective
accompanies,0,13,Verb,1,Verb,13,,,,,,Adjective
accompaniment,0,15,Noun,1,Noun,15,,,,,,Adjective
accompanist,0,10,Noun,1,Noun,10,,,,,,Adjective
accompanists,0,1,Noun,1,Noun,1,,,,,,Adjective
accompany,0,242,Verb,1,Verb,242,,,,,,Adjective
accompanying,0,47,Verb,0.72,Verb.Adjective,34.13,,,,,,Adjective
accompli,0,8,Noun,1,Noun,8,,,,,,Adjective
accomplice,0,216,Noun,1,Noun,216,,,,,,Adjective
accomplices,0,58,Noun,1,Noun,59,,,,,,Adjective
accomplish,0,298,Verb,1,Verb,298,,,,,,Adjective
accomplished,0,384,Verb,0.81,Verb.Adjective,314.72,,,,,,Adjective
accomplishes,0,7,Verb,1,Verb,7,,,,,,Adjective
accomplishing,0,26,Verb,0.96,Verb.Noun,25.1,,,,,,Adjective
accomplishment,0,96,Noun,1,Noun,96,,,,,,Adjective
accomplishments,0,81,Noun,0.99,Noun.Name,79.1,,,,,,Adjective
accord,0,83,Noun,0.82,Noun.Verb.Preposition,62.8.6,,,,,,Adjective
accordable,0,1,Adjective,1,Adjective,1,,,,,,Adjective
accordance,0,81,Preposition,0.88,Preposition.Noun,71.1,,,,,,Adjective
accorded,0,7,Verb,1,Verb,7,,,,,,Adjective
according,0,2135,Preposition,0.99,Preposition.Verb.Conjunction.Noun.Adjective,2113.15.4.1.1,,,,,,Adjective
accordingly,0,93,Adverb,1,Adverb,93,,,,,,Adjective
accordion,0,67,Noun,1,Noun,66,,,,,,Adjective
accordions,0,3,Noun,1,Noun,3,,,,,,Adjective
accords,0,9,Noun,0.56,Noun.Verb,5.4,,,,,,Adjective
accost,0,3,Verb,1,Verb,3,,,,,,Adjective
accosted,0,34,Verb,1,Verb,34,,,,,,Adjective
accosting,0,4,Verb,0.75,Verb.Noun,3.1,,,,,,Adjective
accosts,0,1,Verb,1,Verb,1,,,,,,Adjective
account,0,2280,Noun,0.7,Noun.Preposition.Verb,1587.355.335,,,,,,Adjective
accountability,0,24,Noun,1,Noun,24,,,,,,Adjective
accountable,0,72,Adjective,1,Adjective,72,,,,,,Adjective
accountancy,0,3,Noun,1,Noun,3,,,,,,Adjective
accountant,0,315,Noun,1,Noun,315,,,,,,Adjective
accountants,0,55,Noun,1,Noun,55,,,,,,Adjective
accounted,0,154,Verb,1,Verb,154,,,,,,Adjective
accounting,0,230,Noun,0.78,Noun.Verb.Adjective,180.47.3,,,,,,Adjective
accounts,0,534,Noun,0.9,Noun.Verb,478.55,,,,,,Adjective
accoutered,0,1,Adjective,1,Adjective,1,,,,,,Adjective
accoutre,0,1,Noun,1,Noun,1,,,,,,Adjective
accoutred,0,2,Verb,1,Verb,2,,,,,,Adjective
accoutrement,0,6,Noun,1,Noun,6,,,,,,Adjective
accoutrements,0,6,Noun,1,Noun,6,,,,,,Adjective
accra,0,4,Name,1,Name,4,,,,,,Adjective
accreditation,0,9,Noun,1,Noun,9,,,,,,Adjective
accredited,0,16,Adjective,0.69,Adjective.Verb,11.5,,,,,,Adjective
accrediting,0,1,Verb,1,Verb,1,,,,,,Adjective
accrete,0,1,Verb,1,Verb,1,,,,,,Adjective
accrual,0,2,Noun,1,Noun,2,,,,,,Adjective
